
 812252970=1000169|6647443860625|FAIL|IN|INR|2583139^iibfregn^2583139^812252970|812252970|1770|Transaction Failed|sbiepay|NA|2021-06-03 13:02:33|DC|10001692021060300007|1000169|0.00^0.00||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

 902848640=1000169|7823483899535|BOOKED|IN|INR|902848640^iibfexam^iibfdupcer^845118567|902848640|236|Transaction Booked|SBIN|NA|2021-06-03 13:17:32|NB|10001692021060300008|1000169|2.00^0.36||||||||||

