
 902861630=1000169|5244727882816|SUCCESS|IN|INR|902861630^iibfexam^801075795^101202109|902861630|472|Payment In Clearing|sbiepay|202122175580113|2021-08-09 00:23:55|DC|10001692021080900003|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861631=1000169|NA|No Records Found|NA|NA|NA|902861631|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861642=1000169|NA|ABORT|IN|INR|902861642^iibfexam^801661731^101202109|902861642|472|Transaction Aborted|NA|NA|2021-08-09 08:21:39|NA|NA|1000169|0.00^0.00||||||||||

 902861660=1000169|0600580374828|BOOKED|IN|INR|902861660^iibfexam^801558959^101202109|902861660|472|Transaction Booked|SBIN|NA|2021-08-09 09:43:34|UPI|10001692021080900026|1000169|0.00^0.00||||||||||

 902861660=1000169|0600580374828|BOOKED|IN|INR|902861660^iibfexam^801558959^101202109|902861660|472|Transaction Booked|SBIN|NA|2021-08-09 09:43:34|UPI|10001692021080900026|1000169|0.00^0.00||||||||||

 902861660=1000169|0600580374828|BOOKED|IN|INR|902861660^iibfexam^801558959^101202109|902861660|472|Transaction Booked|SBIN|NA|2021-08-09 09:43:34|UPI|10001692021080900026|1000169|0.00^0.00||||||||||

 33236=1000169|NA|ABORT|IN|INR|33236^iibfexam^IIBFDUP^510406755|33236|118|Transaction Aborted|NA|NA|2021-08-09 09:51:25|NA|NA|1000169|0.00^0.00||||||||||

 902861660=1000169|0600580374828|BOOKED|IN|INR|902861660^iibfexam^801558959^101202109|902861660|472|Transaction Booked|SBIN|NA|2021-08-09 09:43:34|UPI|10001692021080900026|1000169|0.00^0.00||||||||||

 902861660=1000169|0600580374828|BOOKED|IN|INR|902861660^iibfexam^801558959^101202109|902861660|472|Transaction Booked|SBIN|NA|2021-08-09 09:43:34|UPI|10001692021080900026|1000169|0.00^0.00||||||||||

 902861660=1000169|0600580374828|BOOKED|IN|INR|902861660^iibfexam^801558959^101202109|902861660|472|Transaction Booked|SBIN|NA|2021-08-09 09:43:34|UPI|10001692021080900026|1000169|0.00^0.00||||||||||

 902861660=1000169|0600580374828|BOOKED|IN|INR|902861660^iibfexam^801558959^101202109|902861660|472|Transaction Booked|SBIN|NA|2021-08-09 09:43:34|UPI|10001692021080900026|1000169|0.00^0.00||||||||||

 902861660=1000169|0600580374828|BOOKED|IN|INR|902861660^iibfexam^801558959^101202109|902861660|472|Transaction Booked|SBIN|NA|2021-08-09 09:43:34|UPI|10001692021080900026|1000169|0.00^0.00||||||||||

 902861660=1000169|0600580374828|BOOKED|IN|INR|902861660^iibfexam^801558959^101202109|902861660|472|Transaction Booked|SBIN|NA|2021-08-09 09:43:34|UPI|10001692021080900026|1000169|0.00^0.00||||||||||

 902861660=1000169|0600580374828|BOOKED|IN|INR|902861660^iibfexam^801558959^101202109|902861660|472|Transaction Booked|SBIN|NA|2021-08-09 09:43:34|UPI|10001692021080900026|1000169|0.00^0.00||||||||||

 902861660=1000169|0600580374828|BOOKED|IN|INR|902861660^iibfexam^801558959^101202109|902861660|472|Transaction Booked|SBIN|NA|2021-08-09 09:43:34|UPI|10001692021080900026|1000169|0.00^0.00||||||||||

 902861660=1000169|0600580374828|BOOKED|IN|INR|902861660^iibfexam^801558959^101202109|902861660|472|Transaction Booked|SBIN|NA|2021-08-09 09:43:34|UPI|10001692021080900026|1000169|0.00^0.00||||||||||

