
 812253493=1000169|NA|ABORT|IN|INR|2590054^iibfregn^2590054^812253493|812253493|1770|Transaction Aborted|NA|NA|2021-06-20 11:21:07|NA|NA|1000169|0.00^0.00||||||||||

 812253496=1000169|6931691567512|BOOKED|IN|INR|2590126^iibfregn^2590126^812253496|812253496|1770|Transaction Booked|sbiepay|NA|2021-06-20 12:59:58|DC|10001692021062000008|1000169|0.00^0.00||||||||||

 812253496=1000169|6931691567512|BOOKED|IN|INR|2590126^iibfregn^2590126^812253496|812253496|1770|Transaction Booked|sbiepay|NA|2021-06-20 12:59:58|DC|10001692021062000008|1000169|0.00^0.00||||||||||

 812253496=1000169|6931691567512|BOOKED|IN|INR|2590126^iibfregn^2590126^812253496|812253496|1770|Transaction Booked|sbiepay|NA|2021-06-20 12:59:58|DC|10001692021062000008|1000169|0.00^0.00||||||||||

 812253496=1000169|6931691567512|BOOKED|IN|INR|2590126^iibfregn^2590126^812253496|812253496|1770|Transaction Booked|sbiepay|NA|2021-06-20 12:59:58|DC|10001692021062000008|1000169|0.00^0.00||||||||||

 812253496=1000169|6931691567512|BOOKED|IN|INR|2590126^iibfregn^2590126^812253496|812253496|1770|Transaction Booked|sbiepay|NA|2021-06-20 12:59:58|DC|10001692021062000008|1000169|0.00^0.00||||||||||

 812253496=1000169|6931691567512|BOOKED|IN|INR|2590126^iibfregn^2590126^812253496|812253496|1770|Transaction Booked|sbiepay|NA|2021-06-20 12:59:58|DC|10001692021062000008|1000169|0.00^0.00||||||||||

 812253498=1000169|9166734545912|BOOKED|IN|INR|2590140^iibfregn^2590140^812253498|812253498|1770|Transaction Booked|SBIN|NA|2021-06-20 13:10:36|UPI|10001692021062000010|1000169|0.00^0.00||||||||||

 812253496=1000169|6931691567512|BOOKED|IN|INR|2590126^iibfregn^2590126^812253496|812253496|1770|Transaction Booked|sbiepay|NA|2021-06-20 12:59:58|DC|10001692021062000008|1000169|0.00^0.00||||||||||

 812253498=1000169|9166734545912|BOOKED|IN|INR|2590140^iibfregn^2590140^812253498|812253498|1770|Transaction Booked|SBIN|NA|2021-06-20 13:10:36|UPI|10001692021062000010|1000169|0.00^0.00||||||||||

 812253496=1000169|6931691567512|BOOKED|IN|INR|2590126^iibfregn^2590126^812253496|812253496|1770|Transaction Booked|sbiepay|NA|2021-06-20 12:59:58|DC|10001692021062000008|1000169|0.00^0.00||||||||||

 812253498=1000169|9166734545912|BOOKED|IN|INR|2590140^iibfregn^2590140^812253498|812253498|1770|Transaction Booked|SBIN|NA|2021-06-20 13:10:36|UPI|10001692021062000010|1000169|0.00^0.00||||||||||

 812253496=1000169|6931691567512|BOOKED|IN|INR|2590126^iibfregn^2590126^812253496|812253496|1770|Transaction Booked|sbiepay|NA|2021-06-20 12:59:58|DC|10001692021062000008|1000169|0.00^0.00||||||||||

 812253498=1000169|9166734545912|BOOKED|IN|INR|2590140^iibfregn^2590140^812253498|812253498|1770|Transaction Booked|SBIN|NA|2021-06-20 13:10:36|UPI|10001692021062000010|1000169|0.00^0.00||||||||||

 812253496=1000169|6931691567512|BOOKED|IN|INR|2590126^iibfregn^2590126^812253496|812253496|1770|Transaction Booked|sbiepay|NA|2021-06-20 12:59:58|DC|10001692021062000008|1000169|0.00^0.00||||||||||

 812253498=1000169|9166734545912|BOOKED|IN|INR|2590140^iibfregn^2590140^812253498|812253498|1770|Transaction Booked|SBIN|NA|2021-06-20 13:10:36|UPI|10001692021062000010|1000169|0.00^0.00||||||||||

 812253496=1000169|6931691567512|BOOKED|IN|INR|2590126^iibfregn^2590126^812253496|812253496|1770|Transaction Booked|sbiepay|NA|2021-06-20 12:59:58|DC|10001692021062000008|1000169|0.00^0.00||||||||||

 812253498=1000169|9166734545912|BOOKED|IN|INR|2590140^iibfregn^2590140^812253498|812253498|1770|Transaction Booked|SBIN|NA|2021-06-20 13:10:36|UPI|10001692021062000010|1000169|0.00^0.00||||||||||

