
 902866002=1000169|4312112792214|SUCCESS|IN|INR|902866002^iibfexam^IIBFELS^EL000001441|902866002|88.5|Payment In Clearing|sbiepay|202123313322221|2021-08-21 11:47:19|DC|10001692021082100013|1000169|0.00^0.00||||||||||

 902866008=1000169|NA|ABORT|IN|INR|902866008^iibfexam^IIBF_ELR^526201903|902866008|2006|Transaction Aborted|NA|NA|2021-08-21 14:21:41|NA|NA|1000169|0.00^0.00||||||||||

 812255509=1000169|9015976574522|BOOKED|IN|INR|2645527^iibfregn^2645527^812255509|812255509|1770|Transaction Booked|CNRB|NA|2021-08-21 15:44:30|NB|10001692021082100027|1000169|2.00^0.36||||||||||

 812255509=1000169|9015976574522|BOOKED|IN|INR|2645527^iibfregn^2645527^812255509|812255509|1770|Transaction Booked|CNRB|NA|2021-08-21 15:44:30|NB|10001692021082100027|1000169|2.00^0.36||||||||||

 812255510=1000169|5449171961230|BOOKED|IN|INR|2645552^iibfregn^2645552^812255510|812255510|1770|Transaction Booked|SBIN|NA|2021-08-21 16:17:46|UPI|10001692021082100032|1000169|0.00^0.00||||||||||

 812255510=1000169|5449171961230|BOOKED|IN|INR|2645552^iibfregn^2645552^812255510|812255510|1770|Transaction Booked|SBIN|NA|2021-08-21 16:17:46|UPI|10001692021082100032|1000169|0.00^0.00||||||||||

 902866014=1000169|7243294249720|BOOKED|IN|INR|902866014^iibfexam^iibfdupcer^7020669|902866014|236|Transaction Booked|SBIN|NA|2021-08-21 16:25:24|UPI|10001692021082100033|1000169|0.00^0.00||||||||||

 902866014=1000169|7243294249720|BOOKED|IN|INR|902866014^iibfexam^iibfdupcer^7020669|902866014|236|Transaction Booked|SBIN|NA|2021-08-21 16:25:24|UPI|10001692021082100033|1000169|0.00^0.00||||||||||

 902866014=1000169|7243294249720|FAIL|IN|INR|902866014^iibfexam^iibfdupcer^7020669|902866014|236|Transaction Failed|SBIN|NA|2021-08-21 16:25:24|UPI|10001692021082100033|1000169|0.00^0.00||||||||||

 812255511=1000169|6216304123520|BOOKED|IN|INR|2645591^iibfregn^2645591^812255511|812255511|1770|Transaction Booked|AMEX|NA|2021-08-21 16:46:38|CC|10001692021082100038|1000169|15.40^2.77||||||||||

 812255511=1000169|6216304123520|BOOKED|IN|INR|2645591^iibfregn^2645591^812255511|812255511|1770|Transaction Booked|AMEX|NA|2021-08-21 16:46:38|CC|10001692021082100038|1000169|15.40^2.77||||||||||

 812255511=1000169|6216304123520|BOOKED|IN|INR|2645591^iibfregn^2645591^812255511|812255511|1770|Transaction Booked|AMEX|NA|2021-08-21 16:46:38|CC|10001692021082100038|1000169|15.40^2.77||||||||||

 812255511=1000169|6216304123520|FAIL|IN|INR|2645591^iibfregn^2645591^812255511|812255511|1770|Transaction Failed|AMEX|NA|2021-08-21 16:46:38|CC|10001692021082100038|1000169|15.40^2.77||||||||||

 902866023=1000169|NA|ABORT|IN|INR|902866023^iibfexam^IIBFELS^EL000001451|902866023|265.5|Transaction Aborted|NA|NA|2021-08-21 18:48:39|NA|NA|1000169|0.00^0.00||||||||||
