
 812255216=1000169|1926721048330|SUCCESS|IN|INR|456^iibfregn^iibffq^812255216|812255216|590|Payment In Clearing|SBIN|IGALTBBAO0|2021-08-12 22:01:31|NB|10001692021081200425|1000169|2.00^0.36||||||||||

 902863275=1000169|NA|No Records Found|NA|NA|NA|902863275|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863276=1000169|NA|No Records Found|NA|NA|NA|902863276|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863295=1000169|NA|ABORT|IN|INR|902863295^iibfexam^IIBF_EL^527201903|902863295|1416|Transaction Aborted|NA|NA|2021-08-13 01:06:09|NA|NA|1000169|0.00^0.00||||||||||

 902863306=1000169|6405063596128|BOOKED|IN|INR|902863306^iibfexam^IIBF_EL^526201903|902863306|1416|Transaction Booked|SBIN|NA|2021-08-13 07:32:21|UPI|10001692021081300015|1000169|0.00^0.00||||||||||

 902863306=1000169|6405063596128|BOOKED|IN|INR|902863306^iibfexam^IIBF_EL^526201903|902863306|1416|Transaction Booked|SBIN|NA|2021-08-13 07:32:21|UPI|10001692021081300015|1000169|0.00^0.00||||||||||

 902863306=1000169|6405063596128|BOOKED|IN|INR|902863306^iibfexam^IIBF_EL^526201903|902863306|1416|Transaction Booked|SBIN|NA|2021-08-13 07:32:21|UPI|10001692021081300015|1000169|0.00^0.00||||||||||

 902863306=1000169|6405063596128|BOOKED|IN|INR|902863306^iibfexam^IIBF_EL^526201903|902863306|1416|Transaction Booked|SBIN|NA|2021-08-13 07:32:21|UPI|10001692021081300015|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863306=1000169|6405063596128|BOOKED|IN|INR|902863306^iibfexam^IIBF_EL^526201903|902863306|1416|Transaction Booked|SBIN|NA|2021-08-13 07:32:21|UPI|10001692021081300015|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863306=1000169|6405063596128|BOOKED|IN|INR|902863306^iibfexam^IIBF_EL^526201903|902863306|1416|Transaction Booked|SBIN|NA|2021-08-13 07:32:21|UPI|10001692021081300015|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863306=1000169|6405063596128|BOOKED|IN|INR|902863306^iibfexam^IIBF_EL^526201903|902863306|1416|Transaction Booked|SBIN|NA|2021-08-13 07:32:21|UPI|10001692021081300015|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863306=1000169|6405063596128|BOOKED|IN|INR|902863306^iibfexam^IIBF_EL^526201903|902863306|1416|Transaction Booked|SBIN|NA|2021-08-13 07:32:21|UPI|10001692021081300015|1000169|0.00^0.00||||||||||

 902863308=1000169|NA|No Records Found|NA|NA|NA|902863308|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902863306=1000169|6405063596128|BOOKED|IN|INR|902863306^iibfexam^IIBF_EL^526201903|902863306|1416|Transaction Booked|SBIN|NA|2021-08-13 07:32:21|UPI|10001692021081300015|1000169|0.00^0.00||||||||||

