First Name,Middle name,Last Name,Mem. Number,Date of Birth,Gender,Email ID,Mobile,Address,State,Pin Code,Country,Profession,Organization,Designation,Exam Code,Course,Sub Code,Subject Desc,Attempt,OptFlg,DBF Collage_institute 
Sameer,Ashok,Shewale,9000052,09/05/2007,M,gaurav.s@esds.co.in,9877887876,At Post Tehare Malegaon Nashik Nashik Nashik,MAH,423106,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Shweta,Vijayrao,Pingale,9000053,09/04/2007,F,iibfdevp@esds.co.in,9145642016,Makhamlabad panchvati   nashik Nashik,MAH,422003,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Katell,Pascale,Obrien,9000054,09/05/2007,M,cicocu@mailinator.com,8821198257,410 Nobel Street Quia nulla aliquam perferendis provident mollit atque dolor velit pariatur Veniam autem officiis sunt reprehenderit ex Nashik Nashik,MAH,422001,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Yael,Guy,Rice,9000055,09/05/2007,F,teefdsfsds@mailinator.com,9953098257,172 Second Court Dignissimos cupiditate numquam doloribus iusto illum eos asperiores ut nos Doloribus accusamus sit voluptate labore Nashik Nashik,MAH,422005,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Cain,Daquan,Watson,9000058,09/05/2007,M,dulic@mailinator.com,9061198257,666 North Hague Court Nihil voluptas accusantium quas debitis voluptatibus fugit sed id delectus Minim deleniti officiis sed eos est dolor rerum Nashik Nashik,MAH,422003,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Kessie,Dolan,Garcia,9000059,09/13/2007,M,muqaxim@mailinator.com,9962598257,917 Hague Extension Laborum exercitation voluptatem nesciunt non Odio laborum in qui similique alias Nashik Nashik,MAH,422003,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Linda,Imani,Brewer,9000060,09/13/2007,F,supolyfo@mailinator.com,9922198257,809 Fabien Avenue Aliquid qui eos iusto sunt non ducimus blanditiis et aute veniam in nece Ut non dicta voluptas quia nihil deleniti consectetur dolores aliquip Nashik Nashik,MAH,422001,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
SHUBHRA,RANJAN,DAS,9000061,03/07/2007,F,shubhradas@yopmail.com,9912198257,Nashik Maharashtra Tehare  Nashik Nashik,MAH,422007,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Jagannadh,Madhav,Pandey,9000062,01/01/2007,M,jm123@yopmail.com,9172211502,Shree Hari marg Govinda Nagar Makhamalabad Nashik Nashik,MAH,422011,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Pooja,Dilip,Lokhande,9000063,03/15/2000,F,chetan.bhamare@esds.co.in,8308318491,Tehare MAlegaon NAshik MAharashtra Nashik Malegaon,MAH,423105,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Beck,Ava,Conrad,9000064,10/03/2007,M,vowuju@mailinator.com,8854198257,150 Oak Extension Totam incididunt laborum perferendis fugit praesentium sunt nulla sunt et Facilis quam dolore cillum sed nulla magnam delectus voluptas laudantium Nashik Nashik,MAH,422003,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Lee,Minerva,Roman,9000065,10/02/2007,F,wikumecoqy@mailinator.com,9921665257,123 West First Street Eos odit eveniet recusandae Fugiat unde quia in vero nisi id adipisicing Laudantium qui rerum voluptates et beatae eius est beatae et repellendus Nashik Nashik,MAH,422002,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Priyanka,,,9000066,10/08/2007,F,iibfdevp@esds.co.ing,9145642012,add line2 line3 nsk Nashik,MAH,433224,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Ashish,Damodar,Khairnar,9000067,03/21/2001,M,ashishkhairnar@yopmail.com,8308318490,Nashik Maharashtra   NAshik Nashik,MAH,422007,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Shweta,,,9000068,10/01/2007,F,shwetapingale1999@gmail.comg,9763430911,Panchvati   Nashik Nashik,MAH,422003,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Drake,Kimberly,Thomas,9000069,10/03/2007,M,kisybe@mailinator.com,9921198257,668 East Clarendon Road Irure impedit non minus repellendus Omnis et facere maxime aut sapiente q Duis eiusmod ex voluptatem ipsum reprehenderit pariatur Laborum Quo pari Nashik Nashik,MAH,422001,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Chetan,R,Patil,9000070,06/14/1990,M,chetan.bhamare@esds.co.inn,9172211503,gangapur road Nashik   Bhopal Bhopal,MAD,462001,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Rupali,,Najan,9000071,10/01/2007,F,,876543212,R K Nashik   Nashik Nashik,MAH,422009,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
rahul,,najan,9000072,10/02/2007,M,rupali.najan@esds.co.in,7620851847,M G road Nashik   Nashik Nashik,MAH,422005,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
Shweta,,,9000073,10/10/2007,F,pingaleshweta10@gmail.com,9763430995,Makhamalabad   Nashik Nashik,MAH,422003,INDIA,,,,1070,FRB,566,Fundamentals of Retail Banking,,,
